Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes,group,category,n_genes
GO_Molecular_Function_2021_fixed.gmt,polyubiquitin modification-dependent protein binding (GO:0031593),1/51,0.265982548711078,0.44330424785179673,4.908052343695908,6.499854352312248,UBL7,5,GO_MF,100
GO_Molecular_Function_2021_fixed.gmt,protease binding (GO:0002020),3/118,0.03431450597287896,0.18299535174834494,5.122956180510137,17.27556674348774,ANXA2;CST3;CSTB,5,GO_MF,100
GO_Molecular_Function_2021_fixed.gmt,protein heterodimerization activity (GO:0046982),1/188,0.6822577893363418,0.7812112091637502,1.3065734265734266,0.4995653475754508,TPM4,5,GO_MF,100
GO_Molecular_Function_2021_fixed.gmt,protein homodimerization activity (GO:0042803),5/636,0.3381828440535801,0.5123982485660304,1.4494413653558547,1.5714387738640447,S100A10;TYMP;TPM4;CCDC88A;TYROBP,5,GO_MF,100
GO_Molecular_Function_2021_fixed.gmt,protein kinase B binding (GO:0043422),1/8,0.04726430274296493,0.1916120381471551,33.16783216783217,101.22822269140514,CCDC88A,5,GO_MF,100
GO_Molecular_Function_2021_fixed.gmt,protein kinase C binding (GO:0005080),1/45,0.23873545656410594,0.402363129040628,5.572640842303763,7.982246375746765,CCDC88A,5,GO_MF,100
GO_Molecular_Function_2021_fixed.gmt,protein kinase binding (GO:0019901),4/506,0.36470712792391696,0.5311268853260926,1.4854559320187384,1.4983209262329118,GSTP1;CCDC88A;RAC1;PRDX3,5,GO_MF,100
GO_Molecular_Function_2021_fixed.gmt,protein phosphatase binding (GO:0019903),1/123,0.5267091552105179,0.6600758830515844,2.010989010989011,1.289258670211201,CD33,5,GO_MF,100
GO_Molecular_Function_2021_fixed.gmt,protein phosphorylated amino acid binding (GO:0045309),1/42,0.22474030268151218,0.38308006138894124,5.976998904709748,8.922522262779895,SYK,5,GO_MF,100
GO_Molecular_Function_2021_fixed.gmt,protein serine/threonine kinase activity (GO:0004674),2/344,0.6188620270802834,0.7309394020633269,1.1929906300150126,0.5724839062489925,RPS6KA4;SYK,5,GO_MF,100
GO_Molecular_Function_2021_fixed.gmt,protein tyrosine kinase activity (GO:0004713),1/108,0.48128618835454173,0.627764593505924,2.2945194340543176,1.6779664585345344,SYK,5,GO_MF,100
GO_Molecular_Function_2021_fixed.gmt,purine ribonucleoside triphosphate binding (GO:0035639),4/460,0.3012563107277002,0.4756678590437372,1.6417601394296495,1.9697737117693714,RPS6KA4;RAC1;ARF3;ARF5,5,GO_MF,100
GO_Molecular_Function_2021_fixed.gmt,"racemase and epimerase activity, acting on carbohydrates and derivatives (GO:0016857)",1/11,0.06441455918384115,0.2012954974495036,23.685314685314687,64.95497641616475,FUOM,5,GO_MF,100
GO_Molecular_Function_2021_fixed.gmt,receptor ligand activity (GO:0048018),4/307,0.11408939000543483,0.2554240074748541,2.502519270313496,5.4324013015056805,GRN;SEMA4A;IL1B;TNFSF13B,5,GO_MF,100
GO_Molecular_Function_2021_fixed.gmt,ribonuclease activity (GO:0004540),2/66,0.06010944183406964,0.2012954974495036,6.48771235362032,18.240776456770902,RNASE6;SAMHD1,5,GO_MF,100
GO_Molecular_Function_2021_fixed.gmt,ribosomal protein S6 kinase activity (GO:0004711),1/7,0.041478946396291516,0.18299535174834494,38.273803119956966,121.80903065936134,RPS6KA4,5,GO_MF,100
GO_Molecular_Function_2021_fixed.gmt,semaphorin receptor binding (GO:0030215),1/23,0.1300233327374101,0.28265941899436975,11.041958041958042,22.526051123462285,SEMA4A,5,GO_MF,100
GO_Molecular_Function_2021_fixed.gmt,sequence-specific DNA binding (GO:0043565),2/707,0.9323787443779818,0.9579233675116251,0.5609170097159603,0.03927326001139004,KLF4;CEBPD,5,GO_MF,100
GO_Molecular_Function_2021_fixed.gmt,sequence-specific double-stranded DNA binding (GO:1990837),4/712,0.6298090454453531,0.7380574751312731,1.0344513184531936,0.47826678262681677,KLF4;BASP1;SPI1;CEBPD,5,GO_MF,100
GO_Molecular_Function_2021_fixed.gmt,serine-type endopeptidase activity (GO:0004252),1/105,0.4716987012382201,0.6206561858397633,2.360993073911734,1.774085237737364,CTSH,5,GO_MF,100
GO_Molecular_Function_2021_fixed.gmt,serine-type endopeptidase inhibitor activity (GO:0004867),3/60,0.0056313019066360544,0.06033537757110058,10.341257428839537,53.56165990624418,ANXA2;SERPINF1;SPINT2,5,GO_MF,100
GO_Molecular_Function_2021_fixed.gmt,serine-type exopeptidase activity (GO:0070008),1/7,0.041478946396291516,0.18299535174834494,38.273803119956966,121.80903065936134,CPVL,5,GO_MF,100
GO_Molecular_Function_2021_fixed.gmt,serine-type peptidase activity (GO:0008236),1/125,0.532461212328278,0.6600758830515844,1.9783469542505687,1.246843720814413,CTSH,5,GO_MF,100
GO_Molecular_Function_2021_fixed.gmt,single-stranded DNA binding (GO:0003697),1/97,0.44526942599390135,0.6008612578512715,2.5584622631254756,2.0699897190099037,SAMHD1,5,GO_MF,100
GO_Molecular_Function_2021_fixed.gmt,single-stranded DNA exodeoxyribonuclease activity (GO:0008297),1/9,0.05301522244471766,0.2012954974495036,29.263266145619088,85.95136858592367,PLD4,5,GO_MF,100
GO_Molecular_Function_2021_fixed.gmt,sulfuric ester hydrolase activity (GO:0008484),1/17,0.09780687014372919,0.23662952454128028,15.064844246662428,35.02215420364226,SULF2,5,GO_MF,100
GO_Molecular_Function_2021_fixed.gmt,thioesterase binding (GO:0031996),1/11,0.06441455918384115,0.2012954974495036,23.685314685314687,64.95497641616475,RAC1,5,GO_MF,100
GO_Molecular_Function_2021_fixed.gmt,transcription cis-regulatory region binding (GO:0000976),3/549,0.6498678008186094,0.7518302247866119,1.0429943328045705,0.44951628941568217,KLF4;BASP1;SPI1,5,GO_MF,100
GO_Molecular_Function_2021_fixed.gmt,transcription regulatory region nucleic acid binding (GO:0001067),3/212,0.1360421185988155,0.28741292661721585,2.8017547775621985,5.588914501756224,KLF4;BASP1;SPI1,5,GO_MF,100
GO_Molecular_Function_2021_fixed.gmt,transition metal ion binding (GO:0046914),3/445,0.5062153224041631,0.6489940030822604,1.2999634190952323,0.8850062063911541,KLF4;SAMHD1;PLSCR1,5,GO_MF,100
GO_Molecular_Function_2021_fixed.gmt,tubulin binding (GO:0015631),2/307,0.5563827558716823,0.6840771588586257,1.3417720049680213,0.7866793321330626,GABARAP;CCDC88A,5,GO_MF,100
GO_Molecular_Function_2021_fixed.gmt,tumor necrosis factor receptor superfamily binding (GO:0032813),1/28,0.15600167560982378,0.3038993680710853,9.03051493960585,16.7776901326238,BID,5,GO_MF,100
GO_Molecular_Function_2021_fixed.gmt,ubiquitin protein ligase activity (GO:0061630),1/263,0.7999213432770885,0.8684452730571868,0.9272727272727272,0.20700610417518117,RNF130,5,GO_MF,100
GO_Molecular_Function_2021_fixed.gmt,ubiquitin protein ligase binding (GO:0031625),1/265,0.802382038717514,0.8684452730571868,0.9201025817282906,0.20257937833485232,GABARAP,5,GO_MF,100
GO_Molecular_Function_2021_fixed.gmt,ubiquitin-like protein ligase activity (GO:0061659),1/270,0.808403972186976,0.8684452730571868,0.9026428117337209,0.19198615040170763,RNF130,5,GO_MF,100
GO_Molecular_Function_2021_fixed.gmt,ubiquitin-like protein ligase binding (GO:0044389),1/282,0.8221281918274701,0.8684452730571868,0.8632699449750959,0.16907914063570348,GABARAP,5,GO_MF,100
GO_Molecular_Function_2021_fixed.gmt,ubiquitin-protein transferase activity (GO:0004842),1/392,0.9103294859711367,0.9417201579011759,0.6148219596495459,0.057761706937789675,RNF130,5,GO_MF,100
GO_Molecular_Function_2021_fixed.gmt,vascular endothelial growth factor receptor 2 binding (GO:0043184),1/8,0.04726430274296493,0.1916120381471551,33.16783216783217,101.22822269140514,CCDC88A,5,GO_MF,100
GO_Molecular_Function_2021_fixed.gmt,vascular endothelial growth factor receptor binding (GO:0005172),1/12,0.07006337693971228,0.21447972532564982,21.623897841289146,57.483998279931804,CCDC88A,5,GO_MF,100
GO_Molecular_Function_2021_fixed.gmt,voltage-gated calcium channel activity (GO:0005245),1/37,0.200849145120742,0.35865918771561067,6.798639716447935,10.913184457796229,CACNA2D3,5,GO_MF,100
GO_Molecular_Function_2021_fixed.gmt,voltage-gated cation channel activity (GO:0022843),1/97,0.44526942599390135,0.6008612578512715,2.5584622631254756,2.0699897190099037,CACNA2D3,5,GO_MF,100
GO_Molecular_Function_2021_fixed.gmt,zinc ion binding (GO:0008270),3/336,0.33066402324090627,0.5061184029197545,1.7412984155404312,1.9270121657984631,KLF4;SAMHD1;PLSCR1,5,GO_MF,100
